logfit;norm inten;linear fit;norm inten
36,26;0;791,29;0
105,54;0;801,21;0
209,6;0;824,68;0
290,11;0;848,28;0
359,18;0;871,74;0
420,09;0;894,67;0
477,66;0;918,14;0
531,27;0;941,47;0
581,99;0;964,8;0
630,35;0;988,13;0
676,7;0;1011,46;0
721,59;0;1034,93;0
764,72;0;1058,26;0
806,52;0;1081,59;0
847,37;0;1105,05;0
886,92;0;1128,39;0
925,5;0;1151,72;0
963,2;0;1175,05;0
1000,09;0;1198,38;0
1036,44;0;1221,84;0
1071,88;0;1245,18;0
1106,68;0;1268,51;0
1140,88;0;1291,84;0
1174,7;5,22E-06;1315,3;5,22E-06
1207,79;0;1338,63;0
1240,38;0;1361,97;0
1272,5;0;1385,3;0
1304,35;0;1408,76;0
1335,59;0;1432,09;0
1366,43;0;1455,42;0
1396,88;8,25E-06;1478,76;8,25E-06
1427,13;0;1502,22;0
1456,86;0;1525,55;0
1486,25;0;1548,88;0
1515,32;0;1572,21;0
1544,24;0;1595,68;0
1572,7;0;1619,01;0
1600,88;0;1642,34;0
1628,94;0;1665,81;0
1656,57;2,94E-05;1689,14;2,94E-05
1683,94;6,32E-06;1712,47;6,32E-06
1711,07;4,45E-05;1735,8;4,45E-05
1738,11;8,49E-05;1759,27;8,49E-05
1764,77;0,000142925;1782,6;0,000142925
1791,2;0,000383699;1805,93;0,000383699
1817,41;0,001063418;1829,26;0,001063418
1843,57;0,002106771;1852,72;0,002106771
1869,36;0,00358742;1876,06;0,00358742
1894,96;0,005209895;1899,39;0,005209895
1920,37;0,007302374;1922,72;0,007302374
1945,59;0,009070247;1946,05;0,009070247
1970,77;0,012148634;1969,51;0,012148634
1995,63;0,014864486;1992,85;0,014864486
2020,32;0,018262531;2016,18;0,018262531
2044,98;0,02198573;2039,64;0,02198573
2069,33;0,026794335;2062,97;0,026794335
2093,53;0,034607392;2086,3;0,034607392
2117,57;0,041873209;2109,63;0,041873209
2141,45;0,052982613;2132,97;0,052982613
2165,33;0,073696585;2156,43;0,073696585
2188,92;0,106633402;2179,76;0,106633402
2212,37;0,195837911;2203,09;0,195837911
2235,81;0,435591761;2226,56;0,435591761
2258,99;0,783320585;2249,89;0,783320585
2282,03;1;2273,22;1
2304,94;0,968452855;2296,55;0,968452855
2327,73;0,776264757;2319,88;0,776264757
2350,52;0,553857617;2343,35;0,553857617
2373,05;0,377745296;2366,68;0,377745296
2395,47;0,251833496;2390,01;0,251833496
2417,9;0,171128358;2413,48;0,171128358
2440,09;0,119187174;2436,81;0,119187174
2462,16;0,082789096;2460,14;0,082789096
2484,12;0,059033293;2483,47;0,059033293
2505,98;0,041867438;2506,8;0,041867438
2527,85;0,029539047;2530,27;0,029539047
2549,49;0,021421176;2553,6;0,021421176
2571,03;0,01532597;2576,93;0,01532597
2592,59;0,011081918;2600,39;0,011081918
2613,93;0,008294054;2623,72;0,008294054
2635,17;0,005618606;2647,06;0,005618606
2656,32;0,003879592;2670,39;0,003879592
2677,37;0,003045679;2693,72;0,003045679
2698,45;0,002367609;2717,18;0,002367609
2719,32;0,001818172;2740,51;0,001818172
2740,1;0,001289075;2763,85;0,001289075
2760,91;0,001142301;2787,31;0,001142301
2781,51;0,00064976;2810,64;0,00064976
2802,03;0,000625023;2833,97;0,000625023
2822,47;0,000533221;2857,3;0,000533221
2842,82;0,000761351;2880,64;0,000761351
2863,21;0,000910323;2904,1;0,000910323
2883,39;0,000722047;2927,43;0,000722047
2903,51;0,000701707;2950,76;0,000701707
2923,54;0,000641239;2974,09;0,000641239
2943,61;0,000527449;2997,56;0,000527449
2963,49;0,000458185;3020,89;0,000458185
2983,29;0,000532121;3044,22;0,000532121
3003,03;0,000310038;3067,55;0,000310038
3022,8;0,000292996;3091,02;0,000292996
3042,38;0,000245446;3114,35;0,000245446
3061,9;0,000407886;3137,68;0,000407886
3081,46;0,000296295;3161,15;0,000296295
3100,84;0,000431799;3184,48;0,000431799
3120,15;0,000460933;3207,81;0,000460933
3139,39;0,000613479;3231,14;0,000613479
3158,68;0,000503261;3254,6;0,000503261
3177,79;0,000739637;3277,94;0,000739637
3196,84;0,000386448;3301,27;0,000386448
3215,82;0,000464232;3324,6;0,000464232
3234,75;0,000351816;3347,93;0,000351816
3253,71;0,00030454;3371,39;0,00030454
3272,51;0,000342745;3394,73;0,000342745
3291,25;0,000212739;3418,06;0,000212739
3310,04;0,000191575;3441,52;0,000191575
3328,66;0,00022813;3464,85;0,00022813
3347,22;9,24E-05;3488,18;9,24E-05
3365,72;7,92E-05;3511,51;7,92E-05
3384,27;9,92E-05;3534,98;9,92E-05
3402,66;2,94E-05;3558,31;2,94E-05
3420,99;6,49E-05;3581,64;6,49E-05
3439,27;1,70E-05;3604,97;1,70E-05
3457,5;1,07E-05;3628,3;1,07E-05
3475,77;1,37E-05;3651,77;1,37E-05
3493,89;1,02E-05;3675,1;1,02E-05
3511,96;2,80E-05;3698,43;2,80E-05
3529,97;9,89E-06;3721,76;9,89E-06
3548,03;2,56E-05;3745,23;2,56E-05
3565,94;1,48E-05;3768,56;1,48E-05
3583,8;0;3791,89;0
3601,71;0;3815,36;0
3619,48;5,50E-06;3838,69;5,50E-06
3637,19;1,07E-05;3862,02;1,07E-05
3654,85;1,24E-05;3885,35;1,24E-05
3672,57;0;3908,81;0
3690,13;0;3932,15;0
3707,66;1,10E-05;3955,48;1,10E-05
3725,13;0;3978,81;0
3742,56;0;4002,14;0
3760,04;0;4025,6;0
3777,38;6,60E-06;4048,94;6,60E-06
3794,68;0;4072,27;0
3811,93;2,06E-05;4095,6;2,06E-05
3829,23;0;4119,06;0
3846,39;0;4142,39;0
3863,51;0;4165,73;0
3880,69;0;4189,19;0
3897,72;0;4212,52;0
3914,71;0;4235,85;0
3931,67;0;4259,18;0
3948,67;0;4282,65;0
3965,54;0;4305,98;0
3982,37;0;4329,31;0
3999,16;0;4352,64;0
4015,91;0;4375,97;0
4032,72;0;4399,44;0
4049,39;0;4422,77;0
4066,03;0;4446,1;0
4082,62;0;4469,43;0
4099,28;5,22E-06;4492,9;5,22E-06
4115,8;0;4516,23;0
4132,28;0;4539,56;0
4148,82;0;4563,03;0
4165,23;0;4586,36;0
4181,61;0;4609,69;0
4197,94;0;4633,02;0
4214,34;0;4656,48;0
4230,61;0;4679,82;0
4246,84;0;4703,15;0
4263,03;0;4726,48;0
4279,2;0;4749,81;0
4295,42;0;4773,27;0
4311,51;0;4796,6;0
4327,57;0;4819,94;0
4343,6;0;4843,27;0
4359,68;0;4866,73;0
4375,65;0;4890,06;0
4391,57;0;4913,39;0
4407,56;0;4936,86;0
4423,42;0;4960,19;0
4439,26;0;4983,52;0
4455,06;0;5006,85;0
4470,83;0;5030,18;0
4486,65;0;5053,65;0
4502,36;0;5076,98;0
4518,04;0;5100,31;0
4533,68;0;5123,64;0
4549,39;0;5147,11;0
4564,97;0;5170,44;0
4580,53;0;5193,77;0
4596,05;0;5217,1;0
4611,64;0;5240,57;0
4627,1;0;5263,9;0
4642,54;0;5287,23;0
4658,04;0;5310,69;0
4673,42;0;5334,03;0
4688,77;0;5357,36;0
4704,09;0;5380,69;0
4719,39;0;5404,02;0
4734,75;1,13E-05;5427,48;1,13E-05
